ds,yhat,yhat_lower,yhat_upper
2018-01-01 00:30:00,5898.7388644522935,5147.3788045107995,6644.116561796145
2018-01-01 01:00:00,5693.412943627342,5018.602353215942,6434.054334366345
2018-01-01 01:30:00,5499.697898070175,4768.697455611364,6223.307085725754
2018-01-01 02:00:00,5332.781511513096,4548.000144284406,6078.529021307741
2018-01-01 02:30:00,5208.7593617844905,4485.634809933541,5970.049805704368
2018-01-01 03:00:00,5142.250951716552,4345.609875288055,5906.726861383167
2018-01-01 03:30:00,5144.0639587923215,4327.745150060677,5832.994188857671
2018-01-01 04:00:00,5219.333492814117,4479.402895513719,5967.853967074057
2018-01-01 04:30:00,5366.481036800355,4606.532408929393,6078.826744997198
2018-01-01 05:00:00,5577.187431492994,4820.600622658137,6353.033492722693
2018-01-01 05:30:00,5837.387318715952,5094.71826533185,6531.784064473799
2018-01-01 06:00:00,6129.107641576543,5399.612422219074,6837.161450184005
2018-01-01 06:30:00,6432.827394831713,5684.5246143154145,7162.056460468622
2018-01-01 07:00:00,6729.957435094213,5996.812475152889,7507.039730533634
2018-01-01 07:30:00,7005.04002055878,6302.291650449063,7751.980454756803
2018-01-01 08:00:00,7247.342710573962,6508.835634464932,7993.948081140579
2018-01-01 08:30:00,7451.649949497782,6663.427305954875,8190.76874536828
2018-01-01 09:00:00,7618.208029844834,6856.187985823772,8311.082675652558
2018-01-01 09:30:00,7751.922849893168,7042.9446158955225,8490.893369760082
2018-01-01 10:00:00,7861.0178186768735,7117.78769151721,8561.149157029029
2018-01-01 10:30:00,7955.415102582842,7218.167189071557,8709.218463851636
2018-01-01 11:00:00,8045.104208307718,7269.497843012783,8795.704563406558
2018-01-01 11:30:00,8138.717154712263,7358.025312118265,8853.153635705714
2018-01-01 12:00:00,8242.457215943828,7527.039054873409,8998.154449671643
2018-01-01 12:30:00,8359.449291486386,7655.544961444336,9082.855188627953
2018-01-01 13:00:00,8489.512358321528,7707.329495389267,9189.44093917997
